,Type,Sub_Type,Faction,Name,Prefixes,Suffixes,Food Cost,Wood Cost,Gold Cost,Favor Cost,Cost,Pop Cost,Training Time,Hitpoints,Line of Sight,Attack Type,Rate of fire,Bonus Multiplier,Maximum range,Hack Damage,Pierce Damage,Divine Damage,Crush Damage,Total Damage,Attack Speed,Multiplier 1,Multiplier 2,Multiplier 3,Hack Armor,Pierce Armor,Crush Armor,Range,Velocity,Description,DPS,DPS (Crush),DPS Per Cost,DPS Per Pop,HP Per Cost,HP Per Pop,Hack HP Per Cost,Pierce HP Per Cost, Crush Damage, Divine Damage
109,unit,Cavalry,Egypt,camel rider,,,50,,70,,120,3,6,135,16,Melee Attack,1," AbstractCavalry:  2.00,  AbstractArcher:  1.25",0.75,8,,,,8.8,1,2X vs. cav,,,15,40,99,,6,,8.8, -   ,0.073,2.93,1.24,49.67,1.46,1.91,,
110,unit,Myth Unit,Greek,hippocampus,,,,,,,0,0,,70,16,None,,,,,,,,0,,,,,10,70,80,,6.6,, -   , -   , -   , -   , -   , -   , -   , -   ,,
111,unit,Hero,Greek,hippolyta (hero),,,,250,100,4,350,2,25,325,22,Ranged Attack,1.7, MythUnit:  6.50,20,,15,,,14.3,1.7,"6,5x MU",,,25,35,99,20,4.3,,8.41, -   ,0.024,4.21,1.02,179,1.36,1.57,,
112,unit,Cavalry,Greek,hetairos,,,50,,90,,140,3,8,160,10,Melee Attack,1, AbstractArcher:  1.50,0.75,8,,,,10,1,Does Splash Damage (2.5),,,5,40,99,,5,,10, -   ,0.071,3.33,1.14,53.33,1.2,1.9,,
113,unit,Myth,Greek,hydra,,,250,,,28,250,4,20,800,16,Melee Attack,1.5," MythUnit:  2.00,  Hero:  0.50",2,30,,,15,30,1.5,2x MU,"0,5x Hero",,60,50,80,2,4,,20,10,0.08,5,3.2,200,8,6.4,18,
114,unit,Infantry,Norse,huskarl,,,,75,40,,115,2,6,115,16,Melee Attack,1," AbstractArcher:  2.00,  Building:  1.60",0.5,7,,,,7,1,2x archers,,,10,60,99,,5,• Counter to ranged soldiers. Infantry only good against ranged soldiers.   ,7, -   ,0.061,3.5,1,57.5,1.11,2.5,,
115,unit,Hero,Greek,jason,,,100,50,,,150,2,5,220,,,,,,9.9,,,,9.9,1.5,12x MU,,,35%,35%,99%,,4.3,,6.6, -   ,0.044,3.3,1.47,110,2.26,2.26,,
116,unit,Siege Ship,Greek,juggernaut,,,,100,50,,150,3,16,265,24,Ranged Attack,2, AbstractArcherShip:  2.00,20,,2,,4,8,2,2x arrow ships,,,10,60,10,20,4.8,,4,2,0.027,1.33,1.83,91.67,2.04,4.58,4,
117,unit,Ranged Cavalry,Atlantean,turma,,,,45,40,,85,2,9,85,16,Ranged Attack,1.8, AbstractArcher:  4.00,14,,5.5,,,5.5,1.8,4x ranged,,,15,40,99,12,5,,3.06, -   ,0.036,1.53,0.94,40,1.11,1.57,,
118,unit,Myth,Greek,manticore,,,,250,,25,300,4,17,420,18,Ranged Attack,1," MythUnit:  3.00,  Hero:  0.25",16,,11,,,33,1,2x MU,"0,25x Hero",,30,60,80,16,4.6,,33, -   ,0.11,8.25,1.4,105,2,3.5,,
119,unit,Myth,Greek,medusa,,,,250,,24,250,4,20,500,16,Ranged Attack,1.7," MythUnit:  2.00,  Hero:  0.25",16,,35,,5,35,1.7,2x MU,"0,25x Hero",,60,70,80,16,4.3,,20.59,2.94,0.082,5.15,2,125,5,6.67,5,
120,unit,Cavalry,Greek,kataskopos,,,75,,,,75,1,,70,,,,,,1,,,,1,1.1,,,,10%,70%,99%,,5.9,,0.91, -   ,0.012,0.91,0.93,70,1.04,3.11,,
121,unit,Myth,Greek,minotaur,,,,,180,15,180,3,20,320,16,Melee Attack,1.1," MythUnit:  2.00,  Hero:  0.50",1,17,,,,17,1.1,2x MU,"0,5x Hero",,60,50,80,,4.5,,15.45, -   ,0.086,5.15,1.78,106.67,4.44,3.56,,
122,unit,Ranged,Greek,peltast,,,,70,25,,90,2,10,65,20,Ranged Attack,1.5, AbstractArcher:  4.00,18,,5,,,5,1.5,4X ranged,,,10,40,99,18,4,,3.33, -   ,0.037,1.67,0.78,35,0.92,1.3,,
123,unit,Myth,Greek,nemean lion,,,,,250,22,250,3,20,660,16,Melee Attack,1.1," MythUnit:  3.00,  Hero:  0.50",1,22,,,11,22,1.1,2x MU,"0,5x Hero",,30,60,80,,4.8,,20,10,0.08,6.67,2.64,220,3.77,6.6,14,
124,unit,Hero,Greek,odysseus,,,,250,100,4,350,2,25,350,20,Ranged Attack,1.2, MythUnit:  6.50,18,,11,,,11,1.2,"6,5x MU",,,25,35,99,18,4.3,,9.17, -   ,0.026,4.58,1.1,192.5,1.47,1.69,,
125,unit,Myth,Greek,pegasus,,,50,,,2,50,2,6,100,18,None,,,,,,,,0,,,,,50,50,80,18,5,, -   , -   , -   , -   , -   , -   , -   , -   ,,
126,unit,Ranged,Egypt,slinger,,,,55,25,,85,2,13,60,19,Ranged Attack,1, AbstractArcher:  3.00,17,,3,,,3,1,3x ranged,,,15,40,99,17,4,,3, -   ,0.035,1.5,0.76,32.5,0.9,1.18,,
127,unit,Hero,Greek,perseus,,,,,400,6,400,4,30,440,,,,,,19.8,,9.9,,29.7,1.5,7x,,,20%,40%,99%,28,4.3,,19.8, -   ,0.05,4.95,1.1,110,1.38,1.83,,
128,unit,Siege,Greek,petrobolos,,,,125,150,,350,3,15,110,36,Wall Breaching,4, Ship:  2.50,,,10,,44,30,4,"2,5x Ships",,,30,90,85,,2.4,,7.5,11,0.021,2.5,0.31,36.67,0.45,3.14,55,
129,unit,Hero,Greek,polyphemus (hero),,,,,400,6,400,4,30,700,20,Melee Attack,1.5, MythUnit:  4.00,0.75,25,,,15,25,1.5,4x MU,,,40,40,99,2,4.1,,16.67,10,0.042,4.17,1.75,175,2.92,2.92,15,
130,unit,Ranged,Greek,toxotes,,,,55,35,,90,2,15,65,18,Ranged Attack,1.1, AbstractInfantry:  1.25,15,,6,,,6,1.1,1.25X Infantry,,,15,15,99,15,4,,5.45, -   ,0.061,2.73,0.72,32.5,0.85,0.85,,
131,unit,Close Combat Ship,Greek,ramming galley,,,,90,45,,135,3,17,320,,,,,,25,,,,25,1.5,,,,30%,10%,50%,2,7,,16.67, -   ,0.123,5.56,2.37,106.67,3.39,2.63,,
132,unit,Myth,Greek,scylla,,,,,200,20,200,4,15,800,16,Melee Attack,1.5," MythUnit:  1.50,  Hero:  0.50",2,30,,,15,30,1.5,"1,5x MU","0,5x Hero",,40,65,80,,5.3,,20,10,0.1,5,4,200,6.67,13.33,15,
133,unit,Myth,Greek,shade of hades,,,,,,,0,,,100,,,,,,12,,,,12,2,,,,20%,20%,80%,,4.5,,6, -   , -   , -   , -   , -   , -   , -   ,,
134,unit,Hero,Greek,the argo (hero),,,,200,,4,200,4,25,480,20,Ranged Attack,2, MythUnit:  3.50,16,,16,,,48,2,"3,5x MU",,,25,40,15,16,6,,24, -   ,0.12,6,2.4,120,3.2,4,,
135,unit,Hero,Greek,theseus (hero),,,100,50,,,150,2,5,209,,,,,,7.2,,,,7.2,1,12x MU,,,35%,40%,99%,,4.3,,7.2, -   ,0.048,3.6,1.39,104.5,2.14,2.32,,
136,unit,Ranged,Atlantean,arcus,,,,60,35,,95,2,16,65,22,Ranged Attack,1, AbstractInfantry:  1.25,20,,5,,,5,1,1.25X Infantry,,,15,15,99,20,4,,5, -   ,0.053,2.5,0.68,32.5,0.8,0.8,,
137,unit,Arrow Ship,Greek,trireme,,,,100,50,,150,3,16,305,20,Ranged Attack,1.5,,15,,8,,,24,1.5,,,,50,30,5,15,5.5,,16, -   ,0.107,5.33,2.13,106.67,4.27,3.05,,
138,unit,Siege,Norse,ballista,,,,150,150,,300,3,17,85,40,Wall Breaching,2.5, Ship:  3.00,,,22,,12,22,2.5,3x ships,,,20,90,85,30,2.4,"Pop Cost: 3  Training Time: 17  Velocity: 2.40  Attack: Wall Breaching  Rate of fire: 2.50  Minimum range: 4.00, Maximum range: 30.00 Pierce: 22.00, Crush: 19.00,  Bonus against: Ship, X3.00  Object Notes:  Linked Triggers:   ",8.8,4.8,0.029,2.2,0.28,21.25,0.35,2.83,19,
139,unit,Myth,Norse,battle boar,,,,,250,27,250,3,20,720,16,Melee Attack,1," MythUnit:  2.00,  Hero:  0.50",1,20,,,20,20,1,2x MU,"0,5x Hero",,60,60,80,1,5,"Pop Cost: 3  Training Time: 20  Velocity: 5.00  Attack: Melee Attack  Rate of fire: 1.00  Maximum range: 1.00  Hack: 20.00, Crush: 30.00, Bonus against: MythUnit, X2.00 Bonus against: Hero, X0.50  ",20,20,0.08,6.67,2.6,216.67,6.5,6.5,30,
140,unit,Ranged Cavalry,Egypt,chariot archer,,,,100,40,,140,3,8,95,21,Ranged Attack,1.5, AbstractInfantry:  1.50,19,,11,,,11,1.5,1.25X Infantry,,,15,20,99,20,5,,7.33, -   ,0.052,2.44,0.71,33.33,0.84,0.89,,
141,unit,Siege Ship,Norse,dragon ship,,,,100,50,,150,3,16,250,24,Ranged Attack,2, AbstractArcherShip:  2.00,20,,2.5,,5,10,2,2x Arrow ships,,,10,60,10,20,4.8, Siege ship. Good against arrow ships and buildings.   ,5,2.5,0.033,1.67,1.67,83.33,1.85,4.17,4.5,
142,unit,Close Combat Ship,Norse,dreki,,,,100,50,,150,3,16,320,16,Melee Attack,1.5,,2,27.5,,,,28,1.5,,,,30,10,50,2,7,,18.67, -   ,0.124,6.22,2.13,106.67,3.05,2.37,,
143,unit,Myth,Norse,einheri,,,,,175,15,175,2,17,275,,,,,,15,,,10,15,1,2x MU,"0,5x Hero",,70%,60%,80%,,3.5,,15,10,0.086,7.5,1.57,137.5,5.24,3.93,,
144,unit,Myth,Norse,fenris wolf brood,,,175,,,15,175,2,12,550,16,Melee Attack,1.5," MythUnit:  3.00,  Hero:  0.25",1,40,,,,35,1.5,3x MU,"0,25x Hero",,40,55,80,,5.5,,23.33, -   ,0.133,11.67,3.14,275,5.24,6.98,,
145,unit,Myth,Norse,fimbulwinter wolf,,,,,,,0,,,180,,,,,,21,,,,21,1.5,,,,20%,40%,80%,,6,,14, -   , -   , -   , -   , -   , -   , -   ,,
146,unit,Myth,Norse,fire giant,,,,,300,28,300,4,24,600,16,Ranged Attack,3," MythUnit:  2.00,  Hero:  0.25",14,45,,,15,90,3,2x MU,"0,25x Hero",,60,70,80,14,3.2,• Myth unit. A mighty engine of destruction who hurls fireballs at enemies. Good against human soldiers and buildings.   ,30,5,0.1,6,2,120,5,6.67,20,
147,unit,Myth,Norse,frost giant,,,,,200,22,200,4,20,600,16,Melee Attack,2," MythUnit:  2.00,  Hero:  0.50",0.5,36,,,24,36,2,2x MU,"0,5x Hero",,55,70,80,,,,18,12,0.09,4.5,3,150,6.67,10,30,
148,unit,Ranged Hero,Norse,godi,,,,80,40,,120,3,16,85,19,Ranged Attack,1.5, MythUnit:  6.00,17,,7,,,6.5,1.5,5.5x MU,,,20,15,99,16,4,,4.33, -   ,0.036,1.44,0.71,28.33,0.89,0.83,,
149,unit,Infantry Hero,Norse,hero of ragnarok,,,80,,40,,0,2,,130,16,Melee Attack,1.3," MythUnit:  4.00,  Building:  1.60",0.75,9,,,,8,1.3,,,,25,15,99,,4.3,,6.15, -   , -   ,2.05, -   ,36.67, -   , -   ,,
150,unit,Hero,Norse,hersir (hero),,,80,,40,,120,3,16,130,16,Melee Attack,1.2," MythUnit:  6.00,  Building:  1.60",0.75,0.8,,,,8.8,1.2,5.5x MU,,,20,25,99,,4.8,,7.33, -   ,0.061,2.44,1.19,47.67,1.49,1.4,,
151,unit,Ranged,Atlantean,arcus (hero),,,,105,60,2,165,2,24,70,,,,,,,6,,,6,1,1.25X Infantry,5.5x MU,,15%,15%,99%,20,4.3,,6, -   ,0.036,3,0.42,35,0.5,0.5,,
152,unit,Ranged,Greek,gastraphetoros,,,,100,60,,160,3,9,80,28,Ranged Attack,2.1, Building:  20.00,23,,12,,,12,2.1,8x buildings,,,5,15,99,23,3.8,,5.71, -   ,0.036,1.9,0.38,20,0.39,0.44,,
153,unit,Infantry,Atlantean,oracle,,,40,,60,,100,1,12,90,3,Melee Attack,1.5,,,,,,,0,,,,,15,45,99,,3.5,, -   , -   , -   , -   , -   , -   , -   , -   ,,
154,unit,Myth,Norse,jormun elver,,,200,,,15,200,4,10,1200,22,Ranged Attack,1.5," MythUnit:  2.00,  Hero:  0.50",16,,60,,,60,1.5,3x MU,"0,5x Hero",,45,60,80,16,6,,40, -   ,0.2,10,6,300,10.91,15,,
155,unit,Myth,Norse,kraken,,,300,,,20,300,4,10,800,16,Melee Attack,3.6," MythUnit:  3.00,  Hero:  0.50",1,54,,,18,54,3.6,3x MU,"0,5x Hero",,50,70,80,1,6,,15,5,0.05,3.75,2.67,200,5.33,8.89,18,
156,unit,Arrow Ship,Norse,longboat,,,,100,50,,150,3,16,290,20,Ranged Attack,1.5,,15,,9,,,27,1.5,,,,50,30,5,15,5.5,,18, -   ,0.12,6,1.93,96.67,3.87,2.76,,
157,unit,Myth,Norse,mountain giant,,,250,,,25,250,4,17,1200,16,Melee Attack,1.3, Hero:  0.50,1,26,,,32,26,1.3,"0,5x Hero",,,50,40,80,1,3.2,• Myth unit. A massive thug who crushes smaller units and smashes buildings with his club. Good against buildings; 4) decent against human soldiers.   ,20,24.62,0.08,5,4.8,300,9.6,8,40,
158,unit,Myth,Norse,nidhogg,,,,,,,0,0,,2800,40,Ranged Attack,2, Hero:  0.10,4,40,,,40,40,2,,,,50,50,80,4,4.3,,20,20, -   , -   , -   , -   , -   , -   ,50,
159,unit,Close Combat Ship,Greek,pentekonter,,,,100,50,,150,3,16,335,16,Melee Attack,1.5,,2,25,,,,25,1.5,,,,30,10,50,2,7,,16.67, -   ,0.111,5.56,2.33,116.67,3.33,2.59,,
160,unit,Siege,Norse,portable ram,,,,125,125,,250,3,13,275,14,Wall Breaching,1,,2,5,,,40,5,1,,,,10,90,85,2,3.5,,5,40,0.02,1.67,1.1,91.67,1.22,11,60,
161,unit,Infantry,Greek,militia,,,70,,,,0,1,,100,20,Melee Attack,1," AbstractCavalry:  1.50,  Building:  1.60",0.75,5,,,,5,1,"1,5x Cavalry",,,30,20,99,,4.8,,5, -   , -   , -   , -   , -   , -   , -   ,,
162,unit,Myth,Norse,raven,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,, -   , -   , -   , -   , -   , -   , -   , -   ,,
163,unit,Ranged Infantry,Norse,throwing axeman ,,,,50,40,,90,2,15,65,,,,,,6,,,,6,1.5,3X Infantry,,,30%,10%,99%,10,4,,4, -   ,0.044,2,0.72,32.5,1.03,0.8,,
164,unit,Myth,Norse,troll,,,,160,,15,160,2,15,250,16,Ranged Attack,1.5," MythUnit:  2.00,  Hero:  0.25",14,,18,,,18,1.5,3x MU,"0,25x Hero",,50,50,80,14,3.5,,12, -   ,0.075,6,1.56,125,3.13,3.13,,
165,unit,Myth,Norse,valkyrie,,,200,,,18,200,3,17,375,16,Melee Attack,1.2," MythUnit:  3.00,  Hero:  0.50",1,14,,,,14,1.2,3x MU,"0,5x Hero",,50,55,80,,6,,11.67, -   ,0.058,3.89,1.88,125,4.69,4.17,,
166,unit,Myth,Norse,walking woods,,,,100,,10,0,0,,240,16,Melee Attack,2, Hero:  0.50,0.5,16,,,30,16,2,,,,30,60,80,,3.5,,8,15, -   , -   , -   , -   , -   , -   ,30,
167,unit,Myth,All,titans,,,1000,1000,1000,50,3000,10,,28000,,,,,,70,,,70,70,3.5,5x Buildings,2x MU (20x Titan),2x Human,60%,80%,80%,,3.8,,20,20,0.007,2,9.33,"2,800.00",23.33,46.67,,
168,tech,line,Norse,medium infantry,N,"LH, HF",150,,150,,,,50,,,,,,,,,,,,,,,,,,,,,"Upgrades Infantry to Medium Infantry, with more hitpoints and attack.
Infantry: Hitpoints +10%
Infantry: All Actions Damage (All Types) +10%
Infantry: Add 1.00 LOS
Throwing Axemen: Add 1.00 to Ranged Attack Maximum Range",,,,,,,,,,
169,tech,line,Norse,heavy infantry,N,"LH, HF",300,,300,,,,30,,,,,,,,,,,,,,,,,,,,,"Upgrades Infantry to Heavy Infantry, with more hitpoints and attack.Infantry: Hitpoints +15%
Infantry: All Actions Damage (All Types) +15%
Infantry: Add 1.00 LOS
Throwing Axeman: Adds 1.00 to Ranged Attack Maximum Range",,,,,,,,,,
170,tech,line,Norse,champion infantry,N,"LH, HF",500,,400,,,,40,,,,,,,,,,,,,,,,,,,,,"Upgrades Infantry to Champion Infantry, with more hitpoints and attack.
Infantry: Hitpoints +20%
Infantry: All Actions Damage (All Types) +20%
Infantry: Add 1.00 LOS
Throwing Axeman: Adds 1.00 to Ranged Attack Maximum Range",,,,,,,,,,
171,tech,line,Norse,medium cavalry,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,tech,line,Norse,heavy cavalry,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,tech,line,Norse,champion cavalry,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,tech,productivity,Norse,levy longhouse soldiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,tech,productivity,Norse,conscript longhouse soldiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,tech,productivity,Norse,levy great hall soldiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,tech,productivity,Norse,conscript great hall soldiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,tech,productivity,Norse,levy hill fort soldiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,tech,productivity,Norse,conscript hill fort soldiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,building,,Norse,longhouse,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,building,,Norse,great hall,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,building,,Norse,hill fort,,,,100,300,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,tech,,Norse,draft horses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,tech,,Norse,engineers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,burning pitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,• Ranged soldiers and ships fire flaming missiles for greater attack vs. buildings and ships.  • Ranged Soldier: Adds 3.00 to Ranged Attack Damage Bonus against Building  • Throwing Axeman: Adds -2.00 to Ranged Attack Damage Bonus against Building  • Arrow Ship: Adds 3.00 to Ranged Attack Damage Bonus against Building  • Ranged Soldier: Adds 1.50 to Ranged Attack Damage Bonus against Ship  • Arrow Ship: Ranged Attack Damage (All Types) •15%  • Centaur: Adds 3.00 to Ranged Attack Damage Bonus against Building  • Medusa: Adds 3.00 to Ranged Attack Damage Bonus against Building  • Satyr: Adds 3.00 to Ranged Attack Damage Bonus against Building  • Draugr: Adds 3.00 to Ranged Attack Damage Bonus against Building  ,,,,,,,,,,
186,,,,call of valhalla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"• Bragi improves Berserk hitpoints, and grants you favor when they fall in battle.  • Berserk: Hitpoints •10%  • Berserk: Resources returned on death: 0.5 Favor   ",,,,,,,,,,
187,,,,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,,,sentry tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,• Build Limit: 30  • Provides line of sight around your town and lets units garrison inside. Upgrade them to fire upon enemies.   ,,,,,,,,,,
189,,,,vikings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"• Njord causes Raiding Cavalry to produce Gold in addition to Favor while fighting enemy units, and deal additional divine damage.  • Raiding Cavalry: Adds 1.00 to Melee Attack Damage (Divine)  • Player: Add 10.00 Gold to Raiding Cavalry Bounty earning reward   ",,,,,,,,,,
190,,,,axe cart,,,,200,200,,,4,22,500,18,Wall Breaching,2.1,,,30,,,,,,,,,30,90,85,,2.6,,,,,,,,,,90,
191,,,,baihu,,,120,150,,23,,3,20,650,16,Melee Attack,1," MythUnit:  2.00,  Hero:  0.50",1,30,,,,,,,,,50,50,80,,5.2,,,,,,,,,,15,
192,,,,chiwen,,,,150,150,20,,3,15,300,22,Melee Attack,1.5," MythUnit:  2.00,  Hero:  0.50",1,35,,,,,,,,,40,60,80,,5.2,,,,,,,,,,15,
193,,,,chu ko nu,,,,90,55,,,3,16,90,16,Ranged Attack,2.8,,16,,8,,,,,,,,20,25,99,,3.8,,,,,,,,,,,
194,,,,dao swordsman,,,30,,55,,,2,14,135,16,Melee Attack,1.2, Building:  1.60,0.5,9,,,,,,,,,30,30,99,,3.8,,,,,,,,,,,
195,,,,doujian,,,,100,50,,,2,16,290,20,Ranged Attack,1.5,,15,,8,,,,,,,,50,30,5,,5.5,,,,,,,,,,,
196,,,,fei,,,60,,,8,,0,,75,16,Melee Attack,1," MythUnit:  2.00,  Hero:  0.50,  AbstractVillager:  O.50",0.75,9,,,,,,,,,10,25,99,,5,,,,,,,,,,,
197,,,,fire archer,,,,50,35,,,2,9,65,16,Ranged Attack,1," AbstractInfantry:  3.00,  Building:  6.00",12,,4,,,,,,,,25,10,99,,4,,,,,,,,,,,
198,,,,fishing ship chinese,,,,50,,,,1,18,100,20,,,,3,,,,50,,,,,,60,50,5,,4.8,,,,,,,,,,,50
199,,,,ge halberdier,,,50,,35,,,2,14,95,16,Melee Attack,1.1," AbstractCavalry:  5.00,  Building:  1.60",0.75,4,,,,,,,,,40,5,99,,5,,,,,,,,,,,
200,,,,hundun,,,220,,,30,,3,20,1200,16,Melee Attack,1.33," MythUnit:  2.00,  Hero:  0.25",1,40,,,,,,,,,45,65,80,,3.6,,,,,,,,,,50,
201,,,,kuafu,,,50,,100,15,,3,36,175,16,Ranged Attack,2, AbstractTower:  4.00,6,,22,,,,,,,,30,40,99,,3.6,,,,,,,,,,5,
202,,,,li jing (hero),,,,200,300,8,,4,30,300,24,Ranged Attack,1.4, MythUnit:  4.00,20,,14,,,,,,,,30,35,99,,4.5,,,,,,,,,,,
203,,,,louchuan,,,,100,50,,,2,12,250,24,Ranged Attack,2, AbstractArcherShip:  2.00,20,,2,,,,,,,,10,60,10,,4.8,,,,,,,,,,4,
204,,,,mechanical ox caravan,,,100,25,,,,1,18,115,16,None,,,,,,,,,,,,,30,30,99,,3.8,,,,,,,,,,,
205,,,,mengchong,,,,100,50,,,2,16,320,16,Melee Attack,1.5,,2,25,,,,,,,,,30,10,50,,7,,,,,,,,,,,
206,,,,nezha (child) (hero),,,,100,50,,,2,16,320,16,Melee Attack,1.5,,2,25,,,,,,,,,30,10,50,,7,,,,,,,,,,,
207,,,,nezha (hero),,,,,450,5,,0,15,400,22,Melee Attack,1.2, MythUnit:  6.50,1,15,,,,,,,,,30,30,99,,5,,,,,,,,,,,
208,,,,nezha (youth) (hero),,,,,300,5,,0,10,300,18,Melee Attack,1.2, MythUnit:  6.50,0.75,12,,,,,,,,,30,30,99,,5,,,,,,,,,,,
209,,,,peasant,,,40,,,,,1,18,50,14,Ranged Attack,2,,12,,12,,,,,,,,25,35,99,,3.8,,,,,,,,,,,
210,,,,pioneer (hero),,,,75,30,,,2,12,90,12,Ranged Attack,1.5, MythUnit:  11.00,4,,0.5,,,,,,,,15,30,99,,4,,,,,,,,,,,
211,,,,pixiu,,,150,50,,5,,1,20,180,16,None,,,,,,,,,,,,,45,45,80,,3.8,,,,,,,,,,,
212,,,,qilin,,,220,,,18,,3,16,290,16,Melee Attack,1.2," MythUnit:  3.00,  Hero:  0.25",1,12,,,,,,,,,35,60,80,,5.3,,,,,,,,,,,
213,,,,qinglong,,,,325,,26,,4,15,600,18,Charged Ranged Attack,2.4," MythUnit:  2.00,  Hero:  0.25",12,,35,,,,,,,,35,55,80,,4.3,,,,,,,,,,,
214,,,,sage (hero),,,100,,150,5,,3,20,110,20,Ranged Attack,1, MythUnit:  4.00,13,,3,,,,,,,,5,25,99,,3.6,,,,,,,,,,,2
215,,,,siege crossbow,,,,150,150,,,3,33,95,36,Wall Breaching,3,,,,40,,,,,,,,20,90,85,,2.4,,,,,,,,,,110,
216,,,,sky lantern,,,,,,,,0,,5,25,None,,,,,,,,,,,,,15,30,80,,3,,,,,,,,,,,
217,,,,taotie,,,,,260,20,,3,20,650,18,Devour,2," MythUnit:  2.00,  Hero:  0.50",16,,,25,,,,,,,55,50,80,,4.8,,,,,,,,,,,
218,,,,taowu,,,275,,,28,,4,20,780,16,Melee Attack,2," MythUnit:  2.00,  Hero:  0.50",1.5,20,,,,,,,,,50,75,80,,3.2,,,,,,,,,,90,
219,,,,tiger cavalry (dismounted),,,,,,,,2,,45,16,Melee Attack,1," AbstractCavalry:  1.50,  Building:  1.60",1,7,,,,,,,,,15,20,99,,5,,,,,,,,,,,
220,,,,tiger cavalry,,,115,,50,,,3,9,170,16,Melee Attack,1.2," AbstractArcher:  1.50,  AbstractCavalry:  1.50",1,13,,,,,,,,,25,35,99,,5,,,,,,,,,,,
221,,,,titan chinese,,,,,,,,10,,28000,25,Melee Attack,3.5," MythUnit:  2.00,  Building:  6.00,  AbstractTitan:  20.00",2,70,,,,,,,,,60,80,80,,3.75,,,,,,,,,,70,
222,,,,white horse cavalry,,,45,,85,,,3,7,155,22,Melee Attack,1.2, AbstractArcher:  1.75,1,13,,,,,,,,,10,40,99,,6,,,,,,,,,,,
223,,,,wuzu javelineer,,,,75,10,,,2,14,70,18,Ranged Attack,1.2, AbstractArcher:  3.50,16,,4.5,,,,,,,,10,40,99,,4.75,,,,,,,,,,,
224,,,,xuanwu,,,170,170,,15,,4,12,1200,20,Melee Attack,1.7," MythUnit:  1.50,  Hero:  0.50",2,30,,,,,,,,,50,70,80,,6,,,,,,,,,,20,
225,,,,achilles (hero),,,75,,175,2,,3,20,300,16,Melee Attack,1, MythUnit:  8.00,0.75,9,,,,,,,,,30,45,99,,5.3,,,,,,,,,,,
226,,,,ajax (hero),,,100,50,,,,2,5,190,16,Melee Attack,1, MythUnit:  12.00,1,1.75,,,,,,,,,40,35,99,,4.3,,,,,,,,,,,
227,,,,atalanta (hero),,,100,50,,,,2,5,190,16,Melee Attack,1, MythUnit:  12.00,1,1.75,,,,,,,,,40,35,99,,4.3,,,,,,,,,,,
228,,,,axeman,,,40,,30,,,2,12,80,16,Melee Attack,1," AbstractInfantry:  4.00,  Building:  1.60",0.5,5,,,,,,,,,40,10,99,,4.3,,,,,,,,,,,
229,,,,bellerophon (hero),,,,,400,6,,4,30,440,16,Melee Attack,1.2, MythUnit:  4.50,1,15,,,,,,,,,20,55,99,,6,,,,,,,,,,,7
230,,,,camel caravan,,,100,25,,,,1,18,115,16,None,,,,,,,,,,,,,30,30,99,,3.8,,,,,,,,,,,
231,,,,chiron (hero),,,,250,100,4,,2,25,350,20,Ranged Attack,1.5, MythUnit:  6.50,18,,13,,,,,,,,20,30,99,,5.5,,,,,,,,,,,
232,,,,citizen (hero),,,150,25,,2,,2,,125,16,Ranged Attack,2,,15,,22,,,,,,,,25,35,99,,3.8,,,,,,,,,,,
233,,,,citizen,,,85,15,,,,2,30,100,16,Ranged Attack,2,,14,,20,,,,,,,,25,35,99,,3.8,,,,,,,,,,,
234,,,,colossus,,,,,350,30,,4,24,1200,16,Melee Attack,1.3, Hero:  0.50,0.5,26,,,,,,,,,50,75,80,,3,,,,,,,,,,100,
235,,,,donkey caravan,,,100,25,,,,1,18,115,16,None,,,,,,,,,,,,,30,30,99,,3.8,,,,,,,,,,,
