Type,Sub_Type,Faction,Name,Prefixes,Suffixes,Food,Wood,Gold,Favor,Cost,Pop,Training Time (s),HP,Hack Damage,Pierce Damage,Divine Damage,Crush Damage,Total Damage,Attack Speed,Multiplier 1,Multiplier 2,Multiplier 3,Hack Armor,Pierce Armor,Crush Armor,Range,Speed,Description,DPS,DPS (Crush),DPS Per Cost,DPS Per Pop,HP Per Cost,HP Per Pop,Hack HP Per Cost,Pierce HP Per Cost
unit,Hero,Greek,Theseus (Hero),,,100,50,,,150,2,5,209,7.2,,,,7.2,1,12x MU,,,35%,40%,99%,,4.3,,7.2, -   ,0.048,3.6,1.39,104.5,2.14,2.32
unit,Ranged,Atlantean,Arcus,,,,60,35,,95,2,16,65,,5,,,5,1,1.25X Infantry,,,15%,15%,99%,20,4,,5, -   ,0.053,2.5,0.68,32.5,0.8,0.8
unit,Arrow Ship,Greek,Trireme,,,,100,50,,150,3,17,320,,24,,,24,1.5,,,,50%,30%,5%,15,5.5,,16, -   ,0.107,5.33,2.13,106.67,4.27,3.05
unit,Siege,Norse,Ballista,,,,150,150,,300,4,17,85,,22,,12,22,2.5,3x ships,,,20%,90%,60%,30,2.4,,8.8,4.8,0.029,2.2,0.28,21.25,0.35,2.83
unit,Myth,Norse,Battle Boar,,,,,250,27,250,3,20,650,20,,,20,20,1,2x MU,"0,5x Hero",,60%,60%,80%,1,5,,20,20,0.08,6.67,2.6,216.67,6.5,6.5
unit,Ranged Cavalry,Egypt,Chariot Archer,,,,100,40,,140,3,10,100,,11,,,11,1.5,1.25X Infantry,,,15%,20%,99%,20,5,,7.33, -   ,0.052,2.44,0.71,33.33,0.84,0.89
unit,Siege Ship,Norse,Dragon Ship,,,,100,50,,150,3,17,250,,10,,5,10,2,2x Arrow ships,,,10%,60%,10%,20,4.8,,5,2.5,0.033,1.67,1.67,83.33,1.85,4.17
unit,Close Combat Ship,Norse,Dreki,,,,100,50,,150,3,17,320,28,,,,28,1.5,,,,30%,10%,50%,2,7,,18.67, -   ,0.124,6.22,2.13,106.67,3.05,2.37
unit,Myth,Norse,Einheri,,,,,175,15,175,2,17,275,15,,,10,15,1,2x MU,"0,5x Hero",,70%,60%,80%,,3.5,,15,10,0.086,7.5,1.57,137.5,5.24,3.93
unit,Myth,Norse,Fenris Wolf Brood,,,175,,,15,175,2,14,550,35,,,,35,1.5,3x MU,"0,25x Hero",,40%,55%,80%,,5.3,,23.33, -   ,0.133,11.67,3.14,275,5.24,6.98
unit,Myth,Norse,Fimbulwinter Wolf,,,,,,,0,,,180,21,,,,21,1.5,,,,20%,40%,80%,,6,,14, -   , -   , -   , -   , -   , -   , -   
unit,Myth,Norse,Fire Giant,,,,,300,28,300,5,24,600,90,,,15,90,3,2x MU,"0,25x Hero",,60%,70%,80%,14,3.2,,30,5,0.1,6,2,120,5,6.67
unit,Myth,Norse,Frost Giant,,,,,200,22,200,4,20,600,36,,,24,36,2,2x MU,"0,5x Hero",,55%,70%,80%,,,,18,12,0.09,4.5,3,150,6.67,10
unit,Ranged Hero,Norse,Godi,,,,80,40,,120,3,23,85,,6.5,,,6.5,1.5,5.5x MU,,,20%,15%,99%,16,4,,4.33, -   ,0.036,1.44,0.71,28.33,0.89,0.83
unit,Infantry Hero,Norse,Hero of Ragnarok,,,,,,,0,3,,110,8,,,,8,1.3,,,,25%,10%,99%,,4,,6.15, -   , -   ,2.05, -   ,36.67, -   , -   
unit,Hero,Norse,Hersir,,,80,,40,,120,3,23,143,8.8,,,,8.8,1.2,5.5x MU,,,20%,15%,99%,,4.5,,7.33, -   ,0.061,2.44,1.19,47.67,1.49,1.4
unit,Ranged,Atlantean,Arcus (Hero),,,,105,60,2,165,2,24,70,,6,,,6,1,1.25X Infantry,5.5x MU,,15%,15%,99%,20,4.3,,6, -   ,0.036,3,0.42,35,0.5,0.5
unit,Ranged,Greek,Gastraphetoros,,,,100,60,,160,3,18,60,,12,,,12,2.1,8x buildings,,,5%,15%,99%,23,3.8,,5.71, -   ,0.036,1.9,0.38,20,0.39,0.44
unit,Infantry,Atlantean,Oracle,,,40,,60,,100,,11,,,,,,0,,,,,15%,45%,99%,,3.5,, -   , -   , -   , -   , -   , -   , -   , -   
unit,Myth,Norse,Jormun Elver,,,200,,,15,200,4,10,1200,,60,,,60,1.5,3x MU,"0,5x Hero",,45%,60%,80%,16,6,,40, -   ,0.2,10,6,300,10.91,15
unit,Myth,Norse,Kraken,,,300,,,20,300,4,10,800,54,,,18,54,3.6,3x MU,"0,5x Hero",,50%,70%,80%,1,6,,15,5,0.05,3.75,2.67,200,5.33,8.89
unit,Arrow Ship,Norse,Longboat,,,,100,50,,150,3,17,290,,27,,,27,1.5,,,,50%,30%,5%,15,5.5,,18, -   ,0.12,6,1.93,96.67,3.87,2.76
unit,Myth,Norse,Mountain Giant,,,250,,,25,250,4,17,1200,26,,,32,26,1.3,"0,5x Hero",,,50%,40%,80%,1,3.2,,20,24.62,0.08,5,4.8,300,9.6,8
unit,Myth,Norse,Nidhogg,,,,,,,0,,,2500,40,,,40,40,2,,,,50%,50%,80%,4,4.3,,20,20, -   , -   , -   , -   , -   , -   
unit,Close Combat Ship,Greek,Pentekonter,,,,100,50,,150,3,17,350,25,,,,25,1.5,,,,30%,10%,50%,2,7,,16.67, -   ,0.111,5.56,2.33,116.67,3.33,2.59
unit,Siege,Norse,Portable Ram,,,,125,125,,250,3,13,275,5,,,40,5,1,,,,10%,90%,60%,2,3.5,,5,40,0.02,1.67,1.1,91.67,1.22,11
unit,Infantry,Greek,Militia,,,,,,,0,,,100,5,,,,5,1,"1,5x Cavalry",,,30%,20%,99%,,4.8,,5, -   , -   , -   , -   , -   , -   , -   
unit,Myth,Norse,Raven,,,,,,,0,,,,,,,,0,,,,,,,,,,, -   , -   , -   , -   , -   , -   , -   , -   
unit,Ranged Infantry,Norse,Throwing Axeman ,,,,50,40,,90,2,15,65,6,,,,6,1.5,3X Infantry,,,30%,10%,99%,10,4,,4, -   ,0.044,2,0.72,32.5,1.03,0.8
unit,Myth,Norse,Troll,,,,160,,15,160,2,15,250,,18,,,18,1.5,3x MU,"0,25x Hero",,50%,50%,80%,14,3.5,,12, -   ,0.075,6,1.56,125,3.13,3.13
unit,Myth,Norse,Valkyrie,,,200,,,18,200,3,,375,14,,,,14,1.2,3x MU,"0,5x Hero",,60%,55%,80%,,6,,11.67, -   ,0.058,3.89,1.88,125,4.69,4.17
unit,Myth,Norse,Walking Woods,,,,,,,0,,,240,16,,,30,16,2,,,,30%,60%,80%,,3.5,,8,15, -   , -   , -   , -   , -   , -   
unit,Myth,All,Titans,,,1000,1000,1000,50,3000,10,,28000,70,,,70,70,3.5,5x Buildings,2x MU (20x Titan),2x Human,60%,80%,80%,,3.8,,20,20,0.007,2,9.33,"2,800.00",23.33,46.67
tech,line,Norse,Medium Infantry,N,"LH, HF",150,,150,,,,50,,,,,,,,,,,,,,,,"Upgrades Infantry to Medium Infantry, with more hitpoints and attack.
Infantry: Hitpoints +10%
Infantry: All Actions Damage (All Types) +10%
Infantry: Add 1.00 LOS
Throwing Axemen: Add 1.00 to Ranged Attack Maximum Range",,,,,,,,
tech,line,Norse,Heavy Infantry,N,"LH, HF",300,,300,,,,30,,,,,,,,,,,,,,,,"Upgrades Infantry to Heavy Infantry, with more hitpoints and attack.Infantry: Hitpoints +15%
Infantry: All Actions Damage (All Types) +15%
Infantry: Add 1.00 LOS
Throwing Axeman: Adds 1.00 to Ranged Attack Maximum Range",,,,,,,,
tech,line,Norse,Champion Infantry,N,"LH, HF",500,,400,,,,40,,,,,,,,,,,,,,,,"Upgrades Infantry to Champion Infantry, with more hitpoints and attack.
Infantry: Hitpoints +20%
Infantry: All Actions Damage (All Types) +20%
Infantry: Add 1.00 LOS
Throwing Axeman: Adds 1.00 to Ranged Attack Maximum Range",,,,,,,,
tech,line,Norse,Medium Cavalry,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech,line,Norse,Heavy Cavalry,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech,line,Norse,Champion Cavalry,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech,productivity,Norse,Levy Longhouse Soldiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech,productivity,Norse,Conscript Longhouse Soldiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech,productivity,Norse,Levy Great Hall Soldiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech,productivity,Norse,Conscript Great Hall Soldiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech,productivity,Norse,Levy Hill Fort Soldiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech,productivity,Norse,Conscript Hill Fort Soldiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,,Norse,Longhouse,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,,Norse,Great Hall,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,,Norse,Hill Fort,,,,100,300,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech,,Norse,Draft Horses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tech,,Norse,Engineers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
