Name,Type,Sub_Type,Faction,Prefixes,Suffixes,Food_Cost,Wood_Cost,Gold_Cost,Favor_Cost,Pop_Cost,Training_Time,Buildpoints,Hitpoints,Line_of_Sight,Attack_Type,Rate_of_fire,Bonus_Multiplier,Maximum_range,Hack_Damage,Pierce_Damage,Divine_Damage,Crush_Damage,Hack_Armor,Pierce_Armor,Crush_Armor,Velocity,Focus,Description,God_Of
titan chinese,unit,,,,,,,,,10,,,28000,25,Melee Attack,3.5," MythUnit:  2.00,  Building:  6.00,  AbstractTitan:  20.00",2,70,,,70,60,80,80,3.75,,Myth unit. Powerful against all units and buildings.,
titan egyptian,unit,,,,,,,,,10,,,28000,25,Melee Attack,3.5," MythUnit:  2.00,  Building:  6.00,  AbstractTitan:  20.00",2,70,,,70,60,80,80,3.75,,Myth unit. Powerful against all units and buildings.,
titan greek,unit,,,,,,,,,10,,,28000,25,Melee Attack,3.5," MythUnit:  2.00,  Building:  6.00,  AbstractTitan:  20.00",2,70,,,70,60,80,80,3.75,,Myth unit. Powerful against all units and buildings.,
titan japanese,unit,,,,,,,,,10,,,28000,25,Melee Attack,3.5," MythUnit:  2.00,  Building:  6.00,  AbstractTitan:  20.00",2,70,,,70,60,80,80,3.75,,Myth unit. Powerful against all units and buildings.,
titan norse,unit,,,,,,,,,10,,,28000,25,Melee Attack,3.5," MythUnit:  2.00,  Building:  6.00,  AbstractTitan:  20.00",2,70,,,70,60,80,80,3.75,,Myth unit. Powerful against all units and buildings.,
tlacanexquimilli (Corrupted Ground),unit,,,,,100,,,8,,,,175,16,Melee Attack,1," MythUnit:  2.00,  Hero:  0.50",0.75,9,,,,30,40,80,,,,
tlacanexquimilli,unit,,,,,100,,,8,,,,175,16,Melee Attack,1," MythUnit:  2.00,  Hero:  0.50",0.75,9,,,,30,40,80,,,,
tlamanih spearman,unit,,,,,55,,15,,2,9,,85,16,Melee Attack,1," AbstractCavalry:  3.00,  Building:  1.00",0.75,6,,,,40,10,99,4.80 a,,¢ Counter cavalry. Infantry only good against cavalry.,
toxotes,unit,,,,,,55,35,,2,15,,65,18,Ranged Attack,1.1, AbstractInfantry:  1.25,15,,6,,,15,15,99,4,,Ranged soldier. Good against infantry.,
transport ship atlantean,unit,,,,,,110,,,1,19,,180,14,,,,,,,,,40,80,5,5.3,,Transports units. Has no attack. Right-click to enter.,
transport ship aztec,unit,,,,,,110,,,1,19,,180,14,,,,,,,,,40,80,5,,,¢ Transports units. Has no attack. Right-click to enter.,
transport ship chinese,unit,,,,,,110,,,1,19,,180,14,,,,,,,,,40,80,5,5.3,,Transports units. Has no attack. Right-click to enter.,
transport ship egyptian,unit,,,,,,110,,,1,19,,180,14,,,,,,,,,40,80,5,5.3,,Transports units. Has no attack. Right-click to enter.,
transport ship greek,unit,,,,,,110,,,1,19,,180,14,,,,,,,,,40,80,5,5.3,,Transports units. Has no attack. Right-click to enter.,
transport ship japanese,unit,,,,,,110,,,1,19,,180,14,,,,,,,,,40,80,5,5.3,,Transports units. Has no attack. Right-click to enter.,
transport ship norse,unit,,,,,,110,,,1,19,,180,14,,,,,,,,,40,80,5,5.3,,Transports units. Has no attack. Right-click to enter.,
trireme,unit,,,,,,100,50,,3,16,,305,20,Ranged Attack,1.5,,15,,8,,,50,30,5,5.5,,Arrow ship. Good against close-combat ships. Can transport units.,
troll,unit,,,,,,160,,15,2,15,,250,16,Ranged Attack,1.5," MythUnit:  2.00,  Hero:  0.25",14,,18,,,50,50,80,3.5,,Myth unit. A slow but strong ranged unit who throws rocks. Good against human soldiers.,
tunkuluchu,unit,,,,,,,250,20,3,18 el,,850,20,Melee Attack,1.8," MythUnit:  2.00,  Hero:  0.50",1,60,,,,65,60,80,,,against human soldiers.,
turma (hero),unit,,,,,,80,70,2,2,,,95,18,Ranged Attack,1.8," AbstractArcher:  4.00,  MythUnit:  8.00",14,,6.5,,,15,40,99,5.3,,"Ranged Soldier, Cavalry, Hero. Mounted javelineer hero only good against other ranged soldiers and myth units.",
turma,unit,,,,,,45,40,,2,9,,85,16,Ranged Attack,1.8, AbstractArcher:  4.00,14,,5.5,,,15,40,99,5,,"Ranged Soldier, Cavalry. Mounted javelineer only good against other ranged soldiers.",
tzitzimitl,unit,,,,,,,220,18,3,15 P|,,520,16,Melee Attack,0.7," MythUnit:  3.00,  Hero:  0.50",1,18,,,,45,50,80,,,themselves in prolonged combat.,
umibozu,unit,,,,,,225,,15,4,25,,1200,30,Melee Attack,3," MythUnit:  2.00,  Hero:  0.25",1,80,,,40,65,60,80,2.8,,Myth unit. A massive dark humanoid that can teleport between any bodies of water. Good against ships and decent against human soldiers.,
valkyrie,unit,,,,,200,,,18,3,17,,375,16,Melee Attack,1.2," MythUnit:  3.00,  Hero:  0.50",1,14,,,,50,55,80,6,,Myth unit. A warrior maid that can heal allied units. Good against human soldiers.,
vengeful shinigami,unit,,,,,,275,,25,3,15,,600,16,Charged Ranged Attack,3.3,,8,,,40,,35,50,80,4.8,,"Myth unit. An undead spirit that shoots lightning at enemies and respawns when defeated, becoming more powerful. Good against human soldiers.",
villager,unit,,,,,50,,,,1,18,,55,14,Ranged Attack,2,,12,,12,,,25,35,99,3.8,,Villagers gather resources and construct buildings.,
wadjet,unit,,,,,,150,,15,2,17,,260,20,Ranged Attack,1.5," MythUnit:  2.00,  Hero:  0.25",18,,12,,,25,25,80,3.8,,Myth unit. A magical cobra that can spit venom. Good against human soldiers.,
walking woods,unit,,,,,,100,,10,0,,,240,16,Melee Attack,2, Hero:  0.50,0.5,16,,,30,30,60,80,3.5,,Myth unit. Animated trees sent by the gods.,
wanyudo,unit,,,,,,140,,16,2,15,,300,16,Ranged Attack,1.8," MythUnit:  2.00,  Hero:  0.25",6,,,,35,20,65,80,4,,Myth unit. A flaming demonic wheel that breathes fire at enemies. Great against buildings and decent against human soldiers.,
war barge,unit,,,,,,90,45,,3,12,,250,24,Ranged Attack,2, AbstractArcherShip:  2.00,20,,2,,4,10,60,10,4.8,,Siege ship. Good against arrow ships and buildings.,
war elephant,unit,,,,,180,,70,,5,14,,450,16,Melee Attack,1.4," Building:  4.00,  AbstractArcher:  1.50",0.75,20,,,,25,45,99,2.9,,"Cavalry. A strong, slow and expensive unit good against buildings and anything that gets in its way.",
war turtle,unit,,,,,225,,,15,4,9,,1320,16,Melee Attack,1.7," MythUnit:  2.00,  Hero:  0.50",2,60,,,40,40,70,80,5.3,,Myth unit. Massive turtle. Good against ships.,
warrior priest (hero),unit,,,,,40,,60,,2,12 es],,100,16,Melee Attack,1, MythUnit:  9.00,0.5,12.25,,,,20,35,99,,,flying units. Can build religious buildings. Collects Relics.,
wasen,unit,,,,,,100,50,,3,16,,290,20,Ranged Attack,1.5,,15,,8,,,50,30,5,5.9,,Arrow ship. Good against close-combat ships. Can transport units.,
water carnivora,unit,,,,,,,,25,0,,,550,16,Melee Attack,1," AbstractVillager:  O.25,  Hero:  0.25",3,30,,,,35,30,30,Immoveable,,Myth unit. This living plant can sink ships or swallow soldiers.,
wen zhong (hero),unit,,,,,150,150,200,8,4,30,,450,16,Melee Attack,2, MythUnit:  4.00,0.5,20,,,50,30,60,99,5.8,,"Cavalry Hero that harnesses celestial powers to inflict a large area attack. Good against everything, but especially myth units. Switches to a ranged attack to fight flying units. Collects Relics.",
white horse cavalry,unit,,,,,45,,85,,3,7,,155,22,Melee Attack,1.2, AbstractArcher:  1.75,1,13,,,,10,40,99,6,,Cavalry. Unit with a ranged special attack. Good against ranged soldiers.,
wretch,unit,,,,,,,25,5,0,,,80,16,Melee Attack,0.9, Hero:  0.25,0.5,4,,,,25,30,80,4,,"Myth unit. A reanimated corpse who claws at enemies. Good against human soldiers, but only lasts a short time.",
wuzu javelineer,unit,,,,,,75,10,,2,14,,70,18,Ranged Attack,1.2, AbstractArcher:  3.50,16,,4.5,,,10,40,99,4.75,,Mobile ranged soldier. Good against other ranged soldiers.,
xuanwu,unit,,,,,170,170,,15,4,12,,1200,20,Melee Attack,1.7," MythUnit:  1.50,  Hero:  0.50",2,30,,,20,50,70,80,6.00 i,,Myth unit. Amphibious tortoise and snake duo with heavy armor. Good against human soldiers and ships.,
yang jian (hero),unit,,,,,200,,300,8,4,30,,420,16,Melee Attack,1.4, MythUnit:  7.00,1,25,,,,35,40,99,4.5,,"Hero that summons his faithful companion to aid him in battle. Good against everything, but especially myth units. Switches to a ranged attack to fight flying units. Collects Relics.",
yari spearman,unit,,,,,55,,25,,2,10,,105,16,Melee Attack,1," AbstractCavalry:  2.50,  Building:  1.00",0.75,6,,,,40,10,99,4.80 =,,Counter cavalry. Infantry only good against cavalry.,
yazi,unit,,,,,,140,,16,2,18,,320,17,Melee Attack,1.2," MythUnit:  3.00,  Hero:  0.25",1,16,,,,25,60,80,5.30 =,,Fast myth unit that can teleport to enemies. Good against human soldiers.,
yinglong,unit,,,,,,,,,,,,2700,40,,,,,,,,,55,55,80,4.5,,"Myth unit. Legendary dragon that summons wind, rain, and calls down divine thunder. Can only be attacked by ranged units. Attacks with thunderbolts that inflict damage in a large area. Good against everything.",
yumi archer,unit,,,,,,50,40,,2,15,,65,20,Ranged Attack,1.5, AbstractInfantry:  1.25,18,,8,,,15,15,99,4,,Ranged soldier. Good against infantry.,
yumi horse archer,unit,,,,,,75,45,,3,16,,90,17,Ranged Attack,1,,15,,9,,,10,25,99,5,,Fast mounted ranged soldier. Good against infantry.,
zhuque (landed),unit,,,,,,100,200,30,4,24,,650,20,,,,,,,,,30,30,80,Immoveable,,Myth unit. This Zhuque has temporarily landed to regenerate. Cannot attack.,
zhuque,unit,,,,,,100,200,30,4,24,,650,20,Ranged Attack,4," MythUnit:  2.00,  Hero:  0.25",5,20,,,,30,30,80,4,,"Myth unit. Gathers spiritual fire with its wings, creating a fiery whirlwind below to knock enemies away. Good against buildings and human soldiers.",
agave bloom,building,,,,,,200,,10,,,,,9,,,,,,,,,40,90,5,,,"Target a location to spawn a sacred Agave. Gather it for
Food or let its sacred energy heal your nearby units.
",
archery range greek,building,,,,,,100,,,0,,25,1200,9,,,,,,,,,40,90,5,Immoveable,,Greek Archery Ranges train and upgrade ranged soldier and counter-ranged soldier units.,
armory atlantean,building,,,,,,150,,,0,,40,1200,9,,,,,,,,,40,90,5,Immoveable,,"infantry, ranged soldiers, cavalry, and ships.",
armory aztec,building,,,,,,150,,,,,,1200,9,,,,,,,,,40,90,5,Immoveable,,"infantry, ranged soldiers, cavalry, and ships.",
armory chinese,building,,,,,,150,,,0,,40,1200,9,,,,,,,,,40,90,5,Immoveable,,"Allows you to improve the weapons and armor of infantry, ranged soldiers, cavalry, and ships.",
armory egyptian,building,,,,,,150,,,0,,40,1200,9,,,,,,,,,40,90,5,Immoveable,,"Allows you to improve the weapons and armor of infantry, ranged soldiers, cavalry, and ships.",
armory greek,building,,,,,,150,,,0,,40,1200,9,,,,,,,,,40,90,5,Immoveable,,"Allows you to improve the weapons and armor of infantry, ranged soldiers, cavalry, and ships.",
armory japanese,building,,,,,,150,,,0,,40,1200,9,,,,,,,,,40,90,5,Immoveable,,"Allows you to improve the weapons and armor of infantry, ranged soldiers, cavalry, and ships.",
armory norse,building,,,,,,150,,,0,,40,1200,9,,,,,,,,,40,90,5,Immoveable,,"Allows you to improve the weapons and armor of infantry, ranged soldiers, cavalry, and ships.",
baolei,building,,,,,,250,250,10,0,,135,2500,30,Ranged Attack,1, Ship:  3.00,,,10,,,50,90,5,Immoveable,,Chinese Baoleis fire arrows and garrison units. They also train Chinese elite cavalry with powerful abilities.,
barracks,building,,,,,,,75,,0,,25,1200,9,,,,,,,,,40,90,5,Immoveable,,"Egyptian Barracks train Spearmen, Axemen and Slingers.",
castle,building,,,,,,300,300,10,0,,145,3000,30,Ranged Attack,0.8, Ship:  3.00,,,9,,,50,90,5,Immoveable,,Japanese Castles fire arrows and garrison units. They also train siege engines and heroes.,
citadel center atlantean,building,,,,,,350,350,,0,,150,3600,26,Ranged Attack,1,,20,,12,,,55,90,10,Immoveable,,,
citadel center aztec,building,,,,,,350,350,,,,,3600,26,Ranged Attack,1,,20,,12,,,55,90,10,Immoveable _—_,,,
citadel center chinese,building,,,,,,350,350,,0,,150,3600,26,Ranged Attack,1,,20,,12,,,55,90,10,Immoveable,,"Sekhmet, lion goddess of war, has fortified this Town Center into a Citadel Center. It can withstand numerous attacks by enemy soldiers, myth units, and god powers. The Citadel may not be rebuilt if it is destroyed, though it may be repaired.",
citadel center egyptian,building,,,,,,350,350,,0,,150,3600,26,Ranged Attack,1,,20,,12,,,55,90,10,Immoveable,,A heavily fortified Town Center which trains units and researches technologies faster.,
citadel center greek,building,,,,,,350,350,,0,,150,3600,26,Ranged Attack,1,,20,,12,,,55,90,10,Immoveable,,A heavily fortified Town Center which trains units and researches technologies faster.,
citadel center norse,building,,,,,,350,350,,0,,150,3600,26,Ranged Attack,1,,20,,12,,,55,90,10,Immoveable,,A heavily fortified Town Center which trains units and researches technologies faster.,
counter barracks,building,,,,,,100,25,,0,,25,1200,9,,,,,,,,,40,90,5,Immoveable,,,
dock atlantean,building,,,,,,100,,,0,,30,1600,22,Ranged Attack,1,,18,,8,,,40,90,5,Immoveable,,,
dock aztec,building,,,,,,100,,,,,,1600,22,Ranged Attack,1,,18,,8,,,40,90,5,Immoveable _,,drop site for fish and other food. Must be built near water.,
dock chinese,building,,,,,,100,,,0,,30,1600,22,Ranged Attack,1,,18,,8,,,40,90,5,Immoveable,,"Constructs ships and naval myth units, and serves as a drop site for fish and other food. Must be built near water.",
dock egyptian,building,,,,,,100,,,0,,30,1600,22,Ranged Attack,1,,18,,8,,,40,90,5,Immoveable,,,
dock greek,building,,,,,,100,,,0,,30,1600,22,Ranged Attack,1,,18,,8,,,40,90,5,Immoveable,,"Constructs ships and naval myth units, and serves as a drop site for fish and other food. Must be built near water.",
dock japanese,building,,,,,,100,,,0,,30,1600,22,Ranged Attack,1,,18,,8,,,40,90,5,Immoveable,,,
dock norse,building,,,,,,100,,,0,,30,1600,22,Ranged Attack,1,,18,,8,,,40,90,5,Immoveable,,"Constructs ships and naval myth units, and serves as a drop site for fish and other food. Must be built near water.",
dojo,building,,,,,,100,50,,0,,30,1200,9,,,,,,,,,40,90,5,Immoveable,,Japanese Dojos train and upgrade elite Japanese warriors.,
dwarven armory,building,,,,,,135,,,0,,40,1080,9,,,,,,,,,40,90,5,Immoveable,,"Thor's special Armory improves the weapons and armor of infantry, cavalry, and ships. The Dwarven Armory also spawns a free Dwarf for each upgrade that it researches, and researches faster in later ages.",
economic guild,building,,,,,,50,15,,0,,15,400,9,,,,,,,,,40,90,5,Immoveable,,,
farm atlantean,building,,,,,,75,,,0,,10,200,6,,,,,,,,,40,80,5,Immoveable,,,
farm aztec,building,,,,,,75,,,,,10,200,6,,,,,,,,,40,80,5,,,hunting or herding.,
farm chinese,building,,,,,,75,,,0,,10,200,6,,,,,,,,,40,80,5,Immoveable,,"A Farm is a building that provides food when a Villager is assigned to gather from it. Farms provide unlimited Food once built, but may be destroyed or captured by enemy Villagers. Technological improvements will increase the food production of a Farm.",
farm egyptian,building,,,,,,75,,,0,,10,200,6,,,,,,,,,40,80,5,Immoveable,,"Farms provide unlimited Food, but are slower than hunting or herding.",
farm greek,building,,,,,,75,,,0,,10,200,6,,,,,,,,,40,80,5,Immoveable,,"Farms provide unlimited Food, but are slower than hunting or herding.",
farm japanese,building,,,,,,75,,,0,,10,200,6,,,,,,,,,40,80,5,Immoveable,,"Farms provide unlimited Food, but are slower than hunting or herding.",
farm norse,building,,,,,,75,,,0,,10,200,6,,,,,,,,,40,80,5,Immoveable,,"Farms provide unlimited Food, but are slower than hunting or herding.",
fortress,building,,,,,,300,300,10,0,,150,3000,30,Ranged Attack,1, Ship:  3.00,,,12.5,,,50,90,5,Immoveable,,"Greek Fortresses fire arrows and garrison units. They also train siege weapons, heroes, and powerful unique units.",
granary egyptian,building,,,,,,50,,,0,,15,400,9,,,,,,,,,40,90,5,Immoveable,,A drop site where Villagers deposit Food that they have gathered.,
granary,building,,,,,,50,,,0,,15,400,9,,,,,,,,,40,90,5,Immoveable,,A drop site where Villagers deposit Food that they have gathered.,
great hall,building,,,,,,135,,,0,,40,1620,9,,,,,,,,,40,90,5,Immoveable,,Norse Great Halls train and upgrade heroes and cavalry.,
great temple,building,,,,,,300,300,8,,,115 -,3000,30,Ranged Attack,1, Ship:  3.00,,,12,,,50,90,5,,,also train and upgrade elite units.,
guardhouse,building,,,,,,100,,,0,,25,1200,9,,,,,,,,,40,90,5,Immoveable,,Japanese Guardhouses train and upgrade infantry units and ranged soldiers.,
hill fort,building,,,,,,270,300,5,0,,135,2700,26,Ranged Attack,1, Ship:  3.00,,,10,,,50,90,5,Immoveable,,Norse Hill Forts fire arrows and garrison units. They also train elite units and siege weapons.,
house atlantean,building,,,,,,50,,,0,,15,450,9,,,,,,,,,40,90,5,Immoveable,,,
house chinese,building,,,,,,50,,,0,,15,450,9,,,,,,,,,40,90,5,Immoveable,,"Supports 10 population. After you reach the House build limit, you must construct Town Centers to support additional population.",
house egyptian,building,,,,,,50,,,0,,15,450,9,,,,,,,,,40,90,5,Immoveable,,"Supports 10 population. After you reach the House build limit, you must construct Town Centers to support additional population.",
house greek,building,,,,,,50,,,0,,15,450,9,,,,,,,,,40,90,5,Immoveable,,"Supports 10 population. After you reach the House build limit, you must construct Town Centers to support additional population.",
house japanese,building,,,,,,50,,,0,,15,450,9,,,,,,,,,40,90,5,Immoveable,,"Supports 10 population. After you reach the House build limit, you must construct Town Centers to support additional population.",
house norse,building,,,,,,50,,,0,,15,450,9,,,,,,,,,40,90,5,Immoveable,,"Supports 10 population. After you reach the House build limit, you must construct Town Centers to support additional population.",
imperial academy,building,,,,,,125,,,0,,30,1200,9,,,,,,,,,40,90,5,Immoveable,,Building of higher learning that produces heroes and researches unique Chinese upgrades.,
infested nest,building,,,,,,150,,,,,,600,16,,,,,,,,,40,90,5,,,,
lighthouse,building,,,,,,,200,,,,120,1400,60,,,,,,,,,40,90,5,Immoveable,,"Provides gigantic line of sight, but cannot attack.",
longhouse,building,,,,,,90,,,0,,25,1080,9,,,,,,,,,40,90,5,Immoveable,,Norse Longhouses train and upgrade basic infantry units.,
lumber camp,building,,,,,,,,,0,,15,400,9,,,,,,,,,40,90,5,Immoveable,,A drop site where Villagers deposit Wood that they have gathered.,
machine workshop,building,,,,,,125,25,,0,,45,1200,9,,,,,,,,,40,90,5,Immoveable,,Trains advanced Chinese ranged soldiers and siege weapons. Can be upgraded with a Tower for defense or a Training Yard to speed production.,
manor,building,,,,,,80,20,,0,,25,800,9,,,,,,,,,40,90,5,Immoveable,,,
market atlantean,building,,,,,,150,,,0,,40,1200,9,,,,,,,,,40,90,5,Immoveable,,,
market aztec,building,,,,,,150,,,,,40,1200,9,,,,,,,,,40,90,5,,,Market.,
market chinese,building,,,,,,150,,,0,,40,1200,9,,,,,,,,,40,90,5,Immoveable,,,
market egyptian,building,,,,,,150,,,0,,40,1200,9,,,,,,,,,40,90,5,Immoveable,,You can train Caravans and trade resources at your Market.,
market greek,building,,,,,,150,,,0,,40,1200,9,,,,,,,,,40,90,5,Immoveable,,You can train Caravans and trade resources at your Market.,
market japanese,building,,,,,,150,,,0,,40,1200,9,,,,,,,,,40,90,5,Immoveable,,You can train Caravans and trade resources at your Market.,
market norse,building,,,,,,150,,,0,,40,1200,9,,,,,,,,,40,90,5,Immoveable,,You can train Caravans and trade resources at your Market.,
migdol stronghold,building,,,,,,,500,10,0,,115,3250,30,Ranged Attack,1, Ship:  3.00,,,11.5,,,50,90,5,Immoveable,,TTT] © Egyptian Migdol Strongholds fire arrows and garrison units. They also train and upgrade powerful mounted units.,
military academy,building,,,,,,100,,,0,,25,1200,9,,,,,,,,,40,90,5,Immoveable,,Greek Military Academies train and upgrade infantry and counter-infantry units.,
military barracks,building,,,,,,75,35,,0,,30,1200,9,,,,,,,,,40,90,5,Immoveable,,,
military camp tower training yard,building,,,,,100,150,,,0,,30,1200,9,,,,,,,,,40,90,5,Immoveable,,,
military camp tower,building,,,,,,175,75,,0,,30,1200,24,Ranged Attack,1, Ship:  3.00,,,8,,,40,90,5,Immoveable,,,
military camp,building,,,,,,100,,,0,,30,1200,9,,,,,,,,,40,90,5,Immoveable,,,
mining camp egyptian,building,,,,,,,,,0,,15,400,9,,,,,,,,,40,90,5,Immoveable,,A drop site where Villagers deposit Gold that they have gathered.,
mining camp japanese,building,,,,,,25,,,0,,15,400,9,,,,,,,,,40,90,5,Immoveable,,A drop site where Commoners deposit Gold that they have gathered.,
mirror tower,building,,,,,,75,50,5,0,,60,1100,30,,,,,,,,,50,90,5,Immoveable,,,
monument to gods,building,,,,,600,,600,,0,,60,1200,9,,,,,,,,,5,90,5,Immoveable,,The greatest Monument of them all. Monuments generate Favor.,
monument to pharaohs,building,,,,,300,,300,,0,,50,800,9,,,,,,,,,5,90,5,Immoveable,,A very large Monument. Monuments generate Favor. You must build smaller Monuments before you can build the larger ones.,
monument to priests,building,,,,,200,,200,,0,,40,600,9,,,,,,,,,5,90,5,Immoveable,,A large Monument. Monuments generate Favor. You must build smaller Monuments before you can build the larger ones.,
monument to soldiers,building,,,,,100,,100,,0,,30,450,9,,,,,,,,,5,90,5,Immoveable,,A moderate Monument. Monuments generate Favor. You must build smaller Monuments before you can build the larger ones.,
monument to villagers,building,,,,,50,,50,,0,,20,450,9,,,,,,,,,5,90,5,Immoveable,,A small Monument. Monuments generate Favor. You must build smaller Monuments before you can build the larger ones.,
noble's hut,building,,,,,,75,25,,,,25,1200,9,,,,,,,,,40,90,5,,,¢ Aztec Noble Huts train and upgrade powerful elite units.,
obelisk,building,,,,,,,10,,0,,16,50,32,,,,,,,,,5,90,5,Immoveable,,Summoned by Egyptian Priests to aid in scouting and provide line of sight.,
palace,building,,,,,,300,300,8,0,,115,3000,30,Ranged Attack,1, Ship:  3.00,,,12,,,50,90,5,Immoveable,,,
pillar of tlalocan (SPC),building,,,,,,,,,,,45,3000,25,,,,,,,,,40,90,5,,,,
sentinel,building,,,,,,,,,0,,45,250,26,Ranged Attack,2,,18,,20,,,50,90,10,Immoveable,,Ranged fortification. Animated statue sent by Hades to defend this Town Center. Good against human soldiers.,
sentry tower atlantean,building,,,,,,150,100,,0,,60,600,24,Ranged Attack,1, Ship:  3.00,,,8,,,50,90,5,Immoveable,,,
sentry tower chinese,building,,,,,,150,100,,0,,60,600,24,Ranged Attack,1, Ship:  3.00,,,8,,,50,90,5,Immoveable,,Provides line of sight around your town and lets units garrison inside. Upgrade them to fire upon enemies.,
sentry tower egyptian,building,,,,,,150,100,,0,,60,600,24,Ranged Attack,1, Ship:  3.00,,,8,,,50,90,5,Immoveable,,Provides line of sight around your town and lets units garrison inside. Upgrade them to fire upon enemies.,
sentry tower greek,building,,,,,,150,100,,0,,60,600,24,Ranged Attack,1, Ship:  3.00,,,8,,,50,90,5,Immoveable,,Provides line of sight around your town and lets units garrison inside. Upgrade them to fire upon enemies.,
sentry tower japanese,building,,,,,,150,100,,0,,60,600,24,Ranged Attack,1, Ship:  3.00,,,8,,,50,90,5,Immoveable,,Provides line of sight around your town and lets units garrison inside. Upgrade them to fire upon enemies.,
sentry tower norse,building,,,,,,150,100,,0,,60,600,24,Ranged Attack,1, Ship:  3.00,,,8,,,50,90,5,Immoveable,,Provides line of sight around your town and lets units garrison inside. Upgrade them to fire upon enemies.,
shennong's farm-building,building,,,,,,100,,,,,10,600,6,,,,,,,,,30,80,5,,,,
shrine,building,,,,,,75,,,0,,15,600,13,,,,,,,,,40,90,5,Immoveable,,"Generates Favor when tended by a Miko. Boosted by nearby natural resources, and upgrades Mikos.",
siege works,building,,,,,,,75,,0,,40,1200,9,,,,,,,,,40,90,5,Immoveable,,GP whee ~ ~~ Egyptian Siege Works construct and upgrade powerful siege weapons.,
silo,building,,,,,,50,,,0,,15,400,10,,,,,,,,,40,90,5,Immoveable,,"A drop site where Villagers deposit Food, Wood, or Gold they have gathered.",
sky passage,building,,,,,,25,,8,0,,30,500,12,,,,,,,,,40,90,5,Immoveable,,,
smoke trap,building,,,,,,10,10,,,,,20,15,Melee Attack,1,,0.1,1,,,,,,,Immoveable =,,visibility of affected units in the area. Max 6 traps.,
spike trap,building,,,,,,50,,,,,20,20,15,Melee Attack,1,,0.1,16,,,,,,,Immoveable —_—_,,Yn enemies. Max 6 traps.,
stable greek,building,,,,,,100,,,0,,25,1200,9,,,,,,,,,40,90,5,Immoveable,,Greek Stables train and upgrade cavalry and counter-cavalry units.,
stable japanese,building,,,,,,100,,,0,,25,1200,9,,,,,,,,,40,90,5,Immoveable,,Japanese Stables train and upgrade cavalry units.,
storehouse,building,,,,,,50,,,0,,15,400,9,,,,,,,,,40,90,5,Immoveable,,A drop site where Villagers deposit Wood and Gold that they have gathered.,
temple atlantean,building,,,,,,150,150,,0,,40,1200,9,,,,,,,,,40,90,5,Immoveable,,,
temple aztec,building,,,,,,150,150,,,,,1200,9,,,,,,,,,40,90,5,Immoveable __,,improvements granted by the gods.,
temple chinese,building,,,,,,150,150,,0,,40,1200,9,,,,,,,,,40,90,5,Immoveable,,Trains powerful myth units and provides mythological improvements granted by the gods.,
temple egyptian,building,,,,,,150,150,,0,,40,1200,9,,,,,,,,,40,90,5,Immoveable,,Trains powerful myth units and provides mythological improvements granted by the gods.,
temple greek,building,,,,,,150,150,,0,,40,1200,9,,,,,,,,,40,90,5,Immoveable,,Trains powerful myth units and provides mythological improvements granted by the gods.,
temple japanese,building,,,,,,150,150,,0,,40,1200,9,,,,,,,,,40,90,5,Immoveable,,Trains powerful myth units and provides mythological improvements granted by the gods.,
temple norse,building,,,,,,150,150,,0,,40,1200,9,,,,,,,,,40,90,5,Immoveable,,Trains powerful myth units and provides mythological improvements granted by the gods.,
titan gate,building,,,,,,100,,,0,,10,600,6,,,,,,,,,30,80,5,Immoveable,,dig out a Titan.,
town center atlantean,building,,,,,,350,350,,0,,150,2400,25,Ranged Attack,1,,18,,10,,,50,90,10,Immoveable,,,
town center aztex,building,,,,,,350,350,,,,150 el,2400,25,Ranged Attack,1,,18,,10,,,50,90,10,Immoveable Ewe,,,
town center chinese,building,,,,,,350,350,,0,,150,2400,25,Ranged Attack,1,,18,,10,,,50,90,10,Immoveable,,"Trains Villagers, advances through the Ages, is a drop site for all resources, and supports population. Town Centers are built over Settlements.",
town center egyptian,building,,,,,,350,350,,0,,150,2400,25,Ranged Attack,1,,18,,10,,,50,90,10,Immoveable,,"Trains Villagers, advances through the Ages, is a drop site for all resources, and supports population. Town Centers are built over Settlements.",
town center greek,building,,,,,,350,350,,0,,150,2400,25,Ranged Attack,1,,18,,10,,,50,90,10,Immoveable,,"Trains Villagers, advances through the Ages, is a drop site for all resources, and supports population. Town Centers are built over Settlements.",
town center japanese,building,,,,,,350,350,,0,,150,2400,25,Ranged Attack,1,,18,,10,,,50,90,10,Immoveable,,"Trains Villagers, advances through the Ages, is a drop site for all resources, and supports population. Town Centers are built over Settlements.",
town center norse,building,,,,,,350,350,,0,,150,2400,25,Ranged Attack,1,,18,,10,,,50,90,10,Immoveable,,"Trains Villagers, advances through the Ages, is a drop site for all resources, and supports population. Town Centers are built over Settlements.",
village center atlantean,building,,,,,,350,350,,0,,150,1200,24,Ranged Attack,1,,18,,6,,,40,90,5,Immoveable,,,
village center aztec,building,,,,,,350,350,,,,150,1200,24,Ranged Attack,1,,18,,6,,,40,90,5,,,,
village center chinese,building,,,,,,350,350,,0,,150,1200,24,Ranged Attack,1,,18,,6,,,40,90,5,Immoveable,,Trains Villagers and is a drop site for all resources. Village Centers can be built anywhere on the map.,
